[n]	[m]	[probability]
1	48	0.599428
2	51	0.456052
3	48	0.379035
4	6	0.355669
5	45	0.345715
6	29	0.174761
7	57	0.332029
8	51	0.429499
9	57	0.645004
10	4	0.283436
11	57	0.483373
12	25	0.153344
13	55	0.353123
14	55	0.340348
15	8	0.249603
16	42	0.297877
17	66	0.379115
18	57	0.540980
19	51	0.380670
20	8	0.214187
21	8	0.212860
22	63	0.387096
23	66	0.326450
24	71	0.221248
25	61	0.353172
26	60	0.465685
27	30	0.169189
28	63	0.428619
29	44	0.419029
30	54	0.260555
31	30	0.188764
32	51	0.261874
33	90	0.546674
34	19	0.192687
35	19	0.212727
36	9	0.242715
37	61	0.355804
38	54	0.446412
39	44	0.128141
40	88	0.255286
41	73	0.267267
42	90	0.333437
43	65	0.633950
44	86	0.250755
45	84	0.287940
46	65	0.504112
47	88	0.379429
48	22	0.475584
49	22	0.243833
50	68	0.237262
51	90	0.383234
52	108	0.247428
53	107	0.427096
54	22	0.446739
55	110	0.503452
56	106	0.307961
57	106	0.350907
58	22	0.247943
59	113	0.892215
60	107	0.387026
61	123	0.465022
62	115	0.404342
63	123	0.538264
64	22	0.419262
65	115	0.456925
66	110	0.561286
67	125	0.391045
68	46	0.416356
69	121	0.511114
70	86	0.277641
71	118	0.577582
72	56	0.209136
73	142	0.252124
74	142	0.264045
75	132	0.355710
76	59	0.185162
77	123	0.294018
78	106	0.590416
79	121	0.305660
80	113	0.727618
81	46	0.316620
82	168	0.294912
83	130	0.293527
84	148	0.495564
85	113	0.479117
86	148	0.786779
87	92	0.240540
88	139	0.374342
89	105	0.359340
90	147	0.261509
91	78	0.168251
92	148	0.825385
93	146	0.379342
94	196	0.411494
95	139	0.308961
96	105	0.411474
97	150	0.360930
98	151	0.357635
99	117	0.340952
100	89	0.188999
101	166	0.400313
102	150	0.395653
103	153	0.622503
104	200	0.487424
105	117	0.403835
106	165	0.422045
107	128	0.373729
108	200	0.395337
109	144	0.386942
110	165	0.301517
111	166	0.490785
112	92	0.246218
113	161	0.396412
114	146	0.440694
115	200	0.547655
116	165	0.504558
117	165	0.231870
118	200	0.591112
119	146	0.430278
120	138	0.347250
121	138	0.347250
122	198	0.419344
123	147	0.495009
124	198	0.459833
125	148	0.513656
126	157	0.585108
127	179	0.409817
128	138	0.351336
129	131	0.459732
130	101	0.203421
131	150	0.427222
132	150	0.481505
133	156	0.483011
134	206	0.373427
135	179	0.359190
136	103	0.278637
137	180	0.596993
138	180	0.646869
139	97	0.384504
140	169	0.419992
141	199	0.374441
142	180	0.534287
143	157	0.517588
144	169	0.496559
145	104	0.268553
146	199	0.419643
147	213	0.485956
148	97	0.432521
149	191	0.577198
150	104	0.380536
151	104	0.374723
152	169	0.595288
153	127	0.274285
154	213	0.426669
155	149	0.252418
156	221	0.203608
157	212	0.336997
158	191	0.503162
159	191	0.824595
160	212	0.373133
161	192	0.422315
162	211	0.350767
163	104	0.316870
164	203	0.602621
165	191	0.640295
166	169	0.615989
167	206	0.553178
168	169	0.319888
169	191	0.663736
170	249	0.310951
171	111	0.299988
172	191	0.490399
173	235	0.296801
174	271	0.201060
175	229	0.299038
176	154	0.315006
177	249	0.398811
178	231	0.408603
179	155	0.411517
180	133	0.244568
181	169	0.304919
182	219	0.386673
183	235	0.247280
184	226	0.314954
185	209	0.378895
186	233	0.464739
187	256	0.603399
188	261	0.288303
189	133	0.250818
190	209	0.617148
191	231	0.385399
192	209	0.401950
193	232	0.531803
194	222	0.276090
195	268	0.315124
196	239	0.335815
197	261	0.359095
198	164	0.257494
199	159	0.216198
200	234	0.416155
201	152	0.286328
202	237	0.572419
203	152	0.294143
204	234	0.303566
205	254	0.634458
206	246	0.290641
207	152	0.292891
208	273	0.419196
209	189	0.217727
210	273	0.435289
211	298	0.488963
212	172	0.229858
213	189	0.293502
214	276	0.360255
215	283	0.847402
216	282	0.470277
217	254	0.385960
218	273	0.272374
219	265	0.645129
220	260	0.383011
221	273	0.473269
222	197	0.216551
223	181	0.306818
224	254	0.532187
225	298	0.720900
226	265	0.611406
227	260	0.403522
228	283	0.951647
229	265	0.582195
230	260	0.334562
231	242	0.277001
232	275	0.448735
233	267	0.491448
234	267	0.254571
235	237	0.370417
236	260	0.357752
237	250	0.345107
238	267	0.346470
239	254	0.384760
240	282	0.287574
241	333	0.241950
242	265	0.419773
243	204	0.280086
244	238	0.523301
245	340	0.198543
246	329	0.308895
247	238	0.385070
248	263	0.424883
249	298	0.570004
250	217	0.397427
251	298	0.619649
252	217	0.391734
253	310	0.184371
254	280	0.245624
255	263	0.285688
256	313	0.622124
257	325	0.297461
258	332	0.152238
259	280	0.417160
260	329	0.409316
261	308	0.217812
262	371	0.522806
263	289	0.266387
264	286	0.385412
265	313	0.582447
266	294	0.252580
267	348	0.243291
268	348	0.383004
269	329	0.442244
270	294	0.399414
271	355	0.446238
272	374	0.207323
273	340	0.271856
274	311	0.295987
275	248	0.180394
276	350	0.291983
277	289	0.441402
278	313	0.424209
279	333	0.311888
280	359	0.501189
281	374	0.255548
282	356	0.398835
283	326	0.251174
284	217	0.332369
285	385	0.448239
286	285	0.202090
287	356	0.330005
288	326	0.353865
289	385	0.530156
290	348	0.600828
291	286	0.368122
292	349	0.245677
293	285	0.171319
294	230	0.271387
295	355	0.762484
296	385	0.579731
297	322	0.159716
298	371	0.717563
299	385	0.689139
300	385	0.699681
301	346	0.324396
302	398	0.360015
303	355	0.568746
304	356	0.368635
305	341	0.260731
306	410	0.431167
307	373	0.392677
308	339	0.290965
309	345	0.259631
310	345	0.157447
311	289	0.381890
312	645	0.643548
313	645	0.503197
314	625	0.700522
315	659	0.427955
316	381	0.219274
317	659	0.504174
318	422	0.426549
319	625	0.492302
320	645	0.708079
321	339	0.196642
322	659	0.578522
323	380	0.599391
324	341	0.318140
325	658	0.470242
326	392	0.347808
327	341	0.309831
328	318	0.415232
329	616	0.418884
330	659	0.310286
331	364	0.322505
332	401	0.563806
333	354	0.170826
334	292	0.169194
335	625	0.373235
336	330	0.272445
337	625	0.383868
338	403	0.389942
339	710	0.353867
340	625	0.349009
341	631	0.534692
342	794	0.445585
343	322	0.166511
344	386	0.448263
345	789	0.715633
346	665	0.473835
347	352	0.560770
348	604	0.613176
349	401	0.305282
350	789	0.504186
351	354	0.348303
352	364	0.261333
353	360	0.227089
354	394	0.559212
355	373	0.392745
356	627	0.287316
357	364	0.310351
358	361	0.392881
359	394	0.601465
360	658	1.000000
361	403	0.217036
362	604	0.480518
363	604	0.445874
364	403	0.347793
365	398	0.235182
366	375	0.202190
367	665	1.000000
368	710	0.489644
369	354	0.419612
370	710	0.485459
371	627	0.332789
372	431	0.447219
373	330	0.368016
374	710	0.442727
375	630	0.319981
376	431	0.425856
377	439	0.398671
378	659	1.000000
379	432	0.421994
380	407	0.236340
381	383	0.515229
382	604	0.468836
383	463	0.615082
384	411	0.273437
385	393	0.358398
386	645	0.535182
387	380	0.482364
388	641	0.339951
389	451	0.246869
390	645	0.600093
391	383	0.546066
392	365	0.376831
393	607	0.341684
394	794	0.592449
395	383	0.365894
396	423	0.253817
397	398	0.384231
398	470	0.323104
399	471	0.233738
400	813	1.000000
401	391	0.391241
402	813	1.000000
403	674	0.770399
404	813	1.000000
405	386	0.759904
406	643	0.413957
407	480	0.186579
408	645	0.508888
409	439	0.297163
410	630	0.388899
411	643	0.482192
412	423	0.286501
413	403	0.314800
414	465	0.210175
415	415	0.413659
416	480	0.281576
417	383	0.369483
418	411	0.369692
419	449	0.393190
420	477	0.319552
421	503	0.370783
422	405	0.415249
423	386	0.746090
424	627	0.378664
425	339	0.279116
426	641	0.532649
427	405	0.391666
428	365	0.340204
429	813	1.000000
430	665	0.487612
431	420	0.347699
432	419	0.237135
433	479	0.349920
434	420	0.360516
435	427	0.421104
436	495	0.314098
437	420	0.389173
438	631	0.366889
439	437	0.355679
440	623	0.391969
441	408	0.444919
442	445	0.452004
443	496	0.403604
444	417	0.441751
445	639	0.306574
446	415	0.542739
447	485	0.304184
448	674	0.715831
449	419	0.300236
450	445	0.613416
451	794	0.622427
452	474	0.276425
453	650	0.725568
454	794	0.702358
455	391	0.355179
456	390	0.542270
457	665	0.543963
458	554	0.372773
459	511	0.555184
460	494	0.337207
461	502	0.191588
462	644	0.271912
463	480	0.449347
464	492	0.461265
465	424	0.219213
466	665	0.361433
467	493	0.221544
468	391	0.271820
469	538	0.284243
470	643	0.458940
471	507	0.351248
472	511	0.523312
473	436	0.168494
474	641	0.388729
475	789	0.467974
476	582	0.306458
477	665	0.466418
478	479	0.455302
479	491	0.484766
480	457	0.513459
481	630	0.409063
482	800	0.371777
483	460	0.247425
484	428	0.181226
485	419	0.240275
486	462	0.433417
487	694	0.397666
488	634	0.446271
489	524	0.452553
490	791	0.576066
491	415	0.443719
492	390	0.654197
493	443	0.360855
494	563	0.396779
495	794	0.456074
496	499	0.243890
497	665	0.537831
498	461	0.218632
499	675	0.178727
500	527	0.272687
501	523	0.484454
502	532	0.265959
503	800	0.438633
504	773	0.473726
505	527	0.414387
506	643	0.639202
507	882	0.354788
508	511	0.430411
509	443	0.416214
510	675	0.307338
511	561	0.360012
512	632	0.505954
513	685	0.238141
514	510	0.285655
515	511	0.605648
516	425	0.255963
517	527	0.374640
518	515	0.543553
519	447	0.351439
520	618	0.229469
521	580	0.498481
522	447	0.320414
523	785	0.313979
524	865	0.319504
525	390	0.558364
526	447	0.391914
527	524	0.231808
528	561	0.428511
529	447	0.421805
530	626	0.343258
531	457	0.440027
532	773	0.409285
533	883	0.441977
534	665	0.464783
535	524	0.588583
536	447	0.364774
537	609	0.241316
538	517	0.219113
539	532	0.287412
540	447	0.463806
541	472	0.321578
542	412	0.499731
543	685	0.243068
544	665	0.432828
545	602	0.308157
546	743	0.485911
547	602	0.352194
548	508	0.455952
549	475	0.307688
550	773	0.514780
551	508	0.397594
552	509	0.290562
553	563	0.184356
554	761	0.243983
555	562	0.205971
556	425	0.310557
557	412	0.621148
558	523	0.362521
559	832	1.000000
560	784	0.296781
561	791	0.515062
562	791	0.296483
563	732	0.281550
564	509	0.288781
565	634	0.447654
566	726	0.314717
567	649	0.618531
568	560	0.199398
569	546	0.370714
570	486	0.204060
571	589	0.213253
572	832	1.000000
573	813	1.000000
574	561	0.273981
575	580	0.917934
576	696	0.289213
577	647	0.231781
578	450	0.348939
579	524	0.482826
580	841	0.300370
581	851	0.719364
582	929	0.347996
583	589	0.222520
584	540	0.643449
585	753	0.242409
586	499	0.344345
587	469	0.159522
588	577	0.282091
589	508	0.514490
590	842	0.538142
591	543	0.215822
592	812	0.672535
593	472	0.688362
594	842	0.479908
595	735	0.381149
596	583	0.377393
597	602	0.329589
598	542	0.546116
599	718	0.327725
600	832	1.000000
601	739	0.178353
602	850	0.307317
603	713	0.354943
604	412	0.803036
605	850	0.334930
606	435	0.569490
607	842	0.558173
608	536	0.197183
609	871	0.335510
610	638	0.338572
611	412	0.837354
