[n]	[m]	[probability]
1	3	0.989916
2	3	0.951874
3	9	0.477654
4	6	0.487689
5	3	0.704032
6	5	0.607432
7	7	0.823917
8	15	0.872576
9	15	0.863491
10	24	0.945742
11	14	0.422365
12	21	0.859359
13	20	0.435030
14	4	0.961301
15	4	0.769559
16	11	0.304109
17	31	0.558087
18	12	0.790651
19	24	0.920686
20	4	0.473521
21	32	0.445836
22	18	0.257321
23	13	0.290963
24	4	0.730052
25	21	0.903355
26	24	0.841953
27	60	0.405910
28	4	0.527075
29	26	0.382492
30	74	0.449364
31	28	0.394352
32	12	0.310668
33	42	0.388049
34	35	0.339122
35	43	0.236813
36	42	0.430565
37	31	0.738005
38	27	0.233130
39	43	0.412932
40	25	0.274480
41	54	0.381834
42	25	0.264923
43	40	0.337388
44	48	0.391976
45	61	0.386554
46	43	0.310747
47	57	0.182260
48	57	0.159139
49	28	0.392681
50	43	0.332014
51	64	0.441053
52	74	0.386796
53	49	0.156189
54	27	0.324477
55	27	0.252280
56	65	0.227413
57	71	0.324378
58	42	0.548114
59	74	0.402944
60	27	0.268204
61	71	0.346825
62	64	0.446912
63	86	0.437139
64	65	0.337895
65	45	0.317268
66	74	0.407158
67	67	0.441059
68	62	0.302193
69	53	0.291860
70	65	0.298454
71	81	0.565149
72	43	0.425801
73	76	0.612807
74	74	0.780961
75	67	0.460756
76	94	0.441534
77	65	0.412155
78	69	0.693817
79	67	0.370100
80	64	0.415969
81	86	0.458782
82	82	0.328022
83	77	0.440466
84	81	0.766792
85	106	0.939742
86	93	0.941844
87	83	0.387360
88	84	0.739384
89	79	0.415283
90	83	0.415143
91	92	0.506281
92	97	0.492677
93	93	0.571063
94	78	0.508531
95	91	0.576923
96	89	0.489916
97	95	0.369154
98	109	0.443217
99	89	0.543887
100	91	0.483966
101	90	0.827930
102	113	0.472258
103	111	0.349725
104	85	0.468987
105	111	0.798941
106	112	0.505784
107	105	0.607843
108	98	0.739633
109	103	0.460192
110	83	0.339907
111	110	0.562505
112	112	0.584835
113	100	0.313671
114	112	0.447070
115	111	0.515944
116	128	0.398225
117	90	0.446635
118	128	0.547893
119	100	0.232125
120	136	0.752431
121	134	0.585062
122	112	0.802757
123	130	0.414217
124	149	0.388052
125	99	0.335031
126	102	0.381698
127	117	0.671169
128	139	0.820396
129	115	0.391470
130	102	0.371634
131	130	0.691006
132	107	0.592305
133	104	0.413975
134	113	0.640808
135	147	0.427042
136	161	0.257439
137	115	0.395233
138	130	0.447991
139	127	0.224729
140	142	0.529430
141	130	0.556148
142	161	0.302977
143	153	0.508204
144	183	0.542072
145	170	0.314720
146	104	0.569200
147	185	0.430420
148	120	0.414696
149	139	0.706633
150	117	0.790835
151	170	0.300334
152	185	0.537947
153	139	0.740910
154	153	0.559318
155	210	0.557116
156	117	0.768142
157	134	0.354281
158	121	0.765147
159	183	0.353367
160	165	0.330328
161	180	0.250661
162	202	0.454907
163	173	0.359639
164	210	0.524526
165	207	0.634136
166	157	0.397515
167	215	0.330907
168	211	0.699454
169	166	0.645349
170	180	0.232444
171	202	0.726042
172	215	0.400923
173	133	0.479961
174	140	0.244178
175	139	0.517680
176	173	0.360476
177	221	0.433482
178	152	0.300319
179	186	0.405836
180	164	0.324548
181	221	0.237311
182	168	0.342585
183	152	0.376619
184	168	0.360840
185	200	0.444145
186	186	0.352028
187	165	0.494310
188	204	0.326671
189	181	0.498745
190	198	0.883302
191	201	0.499791
192	198	0.872128
193	170	0.233713
194	199	0.353227
195	192	0.393192
196	203	0.719585
197	212	0.425877
198	201	0.732072
199	240	0.497956
200	133	0.563115
201	291	0.351042
202	212	0.280488
203	174	0.544009
204	192	0.435932
205	214	0.573758
206	209	0.469905
207	254	0.447766
208	199	0.321799
209	196	0.340729
210	214	0.819200
211	256	0.253510
212	218	0.892315
213	198	0.461524
214	174	0.367733
215	218	0.384649
216	291	0.387712
217	240	0.501849
218	181	0.392582
219	204	0.458542
220	195	0.272578
221	240	0.721539
222	256	0.226261
223	223	0.386246
224	256	0.265095
225	197	0.257820
226	234	0.675640
227	252	0.508730
228	203	0.513345
229	198	0.561176
230	214	0.271589
231	201	0.537321
232	236	0.445114
233	188	0.206334
234	220	0.490974
235	214	0.735803
236	181	0.223547
237	232	0.360034
238	214	0.833837
239	236	0.710996
240	250	0.764645
241	250	0.764645
242	250	0.764645
243	244	0.397633
244	251	0.401371
245	214	0.630485
246	269	0.310514
247	227	0.415021
248	194	0.218003
249	199	0.457604
250	229	0.333575
251	227	0.293945
252	235	0.558555
253	285	0.725288
254	235	0.905235
255	229	0.318711
