[n]	[m]	[probability]
1	48	0.592596
2	51	0.452172
3	48	0.359710
4	6	0.352194
5	45	0.343317
6	29	0.174296
7	57	0.323744
8	51	0.433472
9	57	0.635740
10	4	0.282691
11	57	0.468765
12	25	0.153791
13	55	0.352685
14	55	0.340991
15	8	0.248770
16	42	0.290665
17	66	0.380391
18	57	0.531774
19	51	0.380261
20	8	0.213747
21	8	0.212491
22	63	0.383436
23	66	0.329467
24	71	0.218781
25	61	0.354630
26	60	0.467258
27	30	0.168788
28	63	0.427627
29	44	0.416678
30	54	0.260192
31	30	0.187871
32	51	0.265007
33	90	0.534179
34	19	0.192312
35	19	0.211997
36	9	0.242829
37	61	0.354526
38	54	0.443182
39	44	0.123856
40	88	0.244214
41	73	0.264307
42	90	0.312415
43	65	0.629866
44	86	0.253945
45	84	0.288816
46	65	0.499800
47	88	0.372374
48	22	0.466196
49	22	0.240248
50	68	0.237083
51	90	0.395442
52	108	0.248184
53	107	0.423491
54	22	0.438373
55	110	0.502321
56	106	0.313933
57	106	0.357456
58	22	0.243964
59	113	0.887788
60	107	0.383120
61	123	0.463443
62	115	0.394559
63	123	0.531249
64	22	0.411306
65	115	0.448498
66	110	0.556114
67	125	0.387459
68	46	0.416228
69	121	0.518876
70	86	0.276004
71	118	0.573211
72	56	0.208268
73	142	0.254401
74	142	0.265411
75	132	0.350009
76	59	0.185043
77	123	0.285324
78	106	0.596407
79	121	0.315659
80	113	0.739358
81	46	0.314910
82	168	0.298713
83	130	0.299029
84	148	0.483146
85	113	0.499148
86	148	0.784122
87	92	0.241073
88	139	0.368274
89	105	0.360100
90	147	0.270492
91	78	0.167941
92	148	0.817367
93	146	0.382399
94	196	0.394334
95	139	0.301597
96	105	0.411978
97	150	0.365457
98	193	0.362220
99	117	0.344534
100	89	0.189127
101	166	0.401534
102	150	0.400413
103	153	0.627433
104	200	0.496658
105	117	0.406861
106	165	0.421150
107	128	0.364001
108	200	0.441111
109	144	0.393340
110	165	0.302783
111	166	0.493694
112	92	0.246584
113	161	0.396887
114	146	0.438448
115	200	0.580946
116	165	0.502623
117	165	0.236618
118	200	0.554407
119	146	0.427452
120	138	0.341726
121	138	0.341726
122	198	0.416877
123	147	0.495763
124	198	0.446690
125	148	0.496905
126	157	0.586194
127	179	0.362286
128	138	0.344099
129	131	0.452516
130	101	0.201694
131	150	0.430993
132	150	0.478274
133	156	0.482640
134	206	0.333504
135	179	0.382088
136	103	0.274107
137	180	0.602701
138	180	0.650741
139	97	0.376412
140	169	0.430559
141	199	0.368746
142	180	0.528020
143	157	0.517837
144	169	0.504474
145	104	0.265895
146	199	0.410453
147	213	0.476877
148	97	0.430347
149	191	0.575723
150	104	0.377014
151	104	0.371978
152	169	0.597702
153	127	0.273500
154	213	0.402317
155	149	0.253862
156	221	0.199234
157	212	0.338429
158	191	0.499294
159	191	0.825358
160	212	0.373255
161	192	0.418658
162	211	0.353935
163	104	0.313935
164	203	0.596992
165	191	0.648793
166	169	0.609934
167	206	0.558689
168	169	0.311943
169	191	0.671882
170	249	0.308817
171	111	0.300136
172	191	0.502960
173	235	0.308567
174	271	0.195232
175	229	0.286814
176	154	0.314266
177	249	0.389611
178	231	0.399397
179	155	0.413322
180	133	0.244800
181	169	0.293105
182	219	0.398566
183	235	0.229843
184	227	0.313291
185	209	0.385059
186	233	0.462611
187	256	0.615815
188	261	0.315790
189	133	0.253329
190	209	0.620490
191	231	0.382874
192	209	0.402487
193	232	0.534514
194	222	0.259519
195	268	0.334868
196	239	0.330623
197	261	0.356400
198	164	0.258343
199	159	0.215303
200	234	0.408809
201	152	0.285550
202	237	0.575910
203	152	0.293269
204	234	0.286771
205	254	0.630971
206	246	0.290865
207	152	0.292033
208	273	0.412284
209	189	0.220201
210	273	0.429514
211	298	0.510921
212	172	0.227245
213	189	0.297995
214	276	0.356384
215	283	0.849205
216	282	0.488060
217	254	0.390136
218	273	0.283062
219	265	0.655521
220	260	0.383238
221	273	0.467759
222	197	0.213761
223	181	0.303182
224	254	0.539031
225	298	0.713566
226	265	0.608328
227	260	0.400833
228	283	0.949647
229	265	0.581037
230	260	0.330406
231	242	0.280262
232	275	0.446892
233	267	0.491677
234	267	0.255413
235	237	0.368031
236	260	0.360108
237	250	0.333423
238	267	0.348305
239	254	0.389675
240	282	0.279176
241	333	0.241120
242	265	0.399250
243	204	0.280724
244	238	0.530049
245	340	0.196099
246	329	0.316498
247	238	0.384949
248	263	0.418846
249	298	0.550399
250	217	0.396702
251	298	0.598952
252	217	0.392541
253	310	0.184325
254	280	0.246493
255	263	0.285079
256	313	0.618661
257	325	0.304194
258	332	0.153039
259	280	0.417682
260	329	0.404399
261	308	0.219286
262	371	0.531470
263	289	0.263088
264	286	0.380638
265	313	0.579340
266	294	0.244461
267	348	0.244008
268	348	0.384372
269	329	0.427043
270	294	0.390699
271	355	0.441766
272	374	0.218372
273	340	0.270353
274	311	0.295314
275	248	0.186590
276	350	0.290163
277	289	0.436462
278	313	0.422041
279	333	0.312110
280	359	0.501613
281	374	0.262000
282	356	0.395459
283	326	0.231903
284	217	0.342276
285	385	0.444878
286	285	0.203324
287	356	0.327022
288	326	0.323133
289	385	0.526517
290	348	0.600395
291	286	0.376237
292	349	0.242828
293	285	0.176713
294	230	0.283826
295	355	0.758171
296	385	0.570593
297	322	0.155917
298	371	0.713556
299	385	0.681680
300	385	0.690753
301	346	0.288371
302	398	0.355281
303	355	0.564001
304	356	0.364314
305	341	0.263018
306	410	0.429503
307	373	0.385486
308	339	0.291066
309	345	0.257711
310	345	0.152268
311	289	0.390114
312	645	0.603495
313	645	0.469450
314	625	0.693870
315	659	0.439584
316	381	0.223259
317	659	0.509621
318	422	0.429033
319	625	0.469908
320	645	0.707096
321	339	0.196543
322	659	0.584548
323	380	0.593740
324	341	0.318615
325	658	0.468144
326	392	0.347694
327	341	0.310710
328	318	0.418649
329	616	0.381611
330	659	0.314173
331	364	0.316513
332	401	0.552916
333	354	0.173148
334	292	0.175202
335	625	0.358815
336	330	0.279506
337	625	0.398684
338	403	0.387398
339	710	0.331022
340	625	0.335017
341	631	0.505151
342	794	0.482555
343	322	0.167744
344	386	0.441207
345	789	0.703415
346	665	0.517427
347	352	0.556122
348	604	0.601963
349	401	0.294263
350	794	0.484154
351	354	0.347189
352	364	0.257905
353	360	0.226866
354	394	0.549923
355	373	0.388898
356	627	0.279606
357	364	0.314311
358	361	0.386844
359	394	0.611045
360	658	1.000000
361	403	0.217661
362	604	0.456838
363	604	0.426071
364	403	0.351219
365	398	0.240669
366	375	0.194735
367	665	1.000000
368	710	0.487332
369	354	0.412785
370	710	0.481653
371	627	0.327381
372	431	0.448171
373	330	0.370488
374	710	0.433007
375	630	0.318503
376	431	0.426451
377	439	0.396937
378	659	1.000000
379	432	0.408867
380	407	0.233692
381	383	0.506062
382	674	0.454708
383	463	0.613305
384	411	0.260302
385	393	0.354481
386	645	0.533696
387	380	0.485565
388	641	0.333855
389	451	0.248409
390	645	0.598654
391	383	0.537311
392	365	0.376086
393	607	0.364743
394	794	0.616276
395	383	0.374304
396	423	0.254038
397	398	0.384098
398	470	0.323595
399	471	0.234800
400	813	1.000000
401	391	0.383488
402	813	1.000000
403	674	0.859166
404	813	1.000000
405	386	0.754528
406	643	0.426849
407	360	0.181512
408	645	0.507519
409	439	0.297064
410	630	0.388919
411	643	0.480968
412	423	0.287206
413	403	0.314187
414	465	0.208786
415	415	0.413503
416	480	0.247486
417	383	0.370739
418	411	0.379608
419	449	0.411747
420	477	0.320857
421	503	0.371715
422	405	0.418282
423	386	0.744829
424	627	0.374966
425	339	0.293786
426	641	0.537356
427	405	0.393872
428	365	0.342959
429	813	1.000000
430	665	0.505720
431	420	0.342084
432	419	0.235051
433	479	0.355756
434	420	0.359391
435	427	0.411191
436	495	0.295718
437	420	0.387692
438	641	0.374569
439	437	0.356154
440	623	0.353527
441	408	0.432687
442	445	0.444968
443	496	0.403871
444	417	0.434994
445	644	0.304814
446	415	0.541610
447	485	0.288444
448	674	0.673002
449	419	0.298669
450	445	0.604554
451	794	0.641342
452	474	0.270244
453	650	0.743880
454	794	0.666974
455	391	0.372326
456	390	0.547993
457	665	0.542703
458	554	0.374699
459	511	0.555313
460	494	0.340786
461	502	0.188755
462	644	0.249243
463	480	0.458637
464	492	0.459849
465	424	0.219407
466	665	0.369006
467	493	0.228273
468	391	0.290784
469	538	0.294286
470	643	0.494576
471	507	0.346938
472	511	0.521021
473	436	0.170036
474	641	0.407178
475	789	0.437767
476	582	0.300738
477	665	0.464120
478	479	0.457806
479	491	0.479532
480	457	0.515177
481	630	0.415463
482	800	0.325909
483	460	0.245413
484	428	0.177911
485	419	0.241077
486	462	0.438374
487	694	0.326643
488	634	0.445817
489	524	0.447681
490	791	0.595959
491	415	0.441200
492	390	0.649942
493	443	0.366654
494	563	0.395780
495	794	0.469011
496	474	0.243942
497	665	0.536913
498	461	0.218361
499	675	0.175533
500	527	0.276518
501	523	0.495327
502	532	0.264583
503	800	0.466287
504	773	0.468785
505	527	0.410546
506	643	0.631093
507	800	0.345163
508	580	0.429804
509	443	0.412708
510	675	0.305378
511	561	0.360914
512	632	0.504702
513	685	0.252579
514	510	0.284775
515	511	0.603538
516	425	0.255431
517	527	0.368574
518	515	0.539182
519	447	0.346717
520	618	0.229204
521	580	0.503714
522	447	0.316790
523	785	0.301740
524	865	0.319461
525	390	0.566160
526	447	0.383601
527	524	0.237242
528	561	0.428819
529	447	0.414696
530	626	0.352814
531	457	0.446050
532	773	0.415643
533	883	0.357511
534	665	0.463922
535	524	0.587741
536	447	0.356107
537	609	0.243757
538	517	0.216509
539	532	0.283148
540	447	0.457422
541	472	0.331577
542	412	0.500131
543	685	0.248502
544	665	0.432073
545	582	0.303599
546	743	0.489527
547	602	0.344012
548	508	0.454853
549	475	0.305684
550	773	0.522321
551	508	0.397151
552	509	0.294631
553	563	0.183612
554	761	0.234070
555	562	0.204264
556	425	0.310669
557	412	0.618772
558	523	0.376466
559	832	1.000000
560	784	0.280706
561	791	0.480888
562	860	0.275530
563	732	0.299350
564	509	0.296328
565	634	0.448330
566	726	0.312707
567	649	0.616824
568	560	0.200598
569	546	0.375075
570	486	0.203011
571	589	0.213996
572	832	1.000000
573	813	1.000000
574	561	0.274076
575	580	0.918374
576	696	0.286827
577	647	0.232796
578	450	0.341478
579	524	0.479867
580	841	0.304573
581	851	0.725772
582	929	0.343283
583	589	0.223545
584	540	0.622607
585	753	0.244675
586	499	0.343772
587	469	0.156091
588	577	0.267166
589	508	0.519049
590	842	0.531362
591	543	0.207176
592	812	0.648799
593	472	0.694210
594	842	0.463634
595	735	0.382902
596	583	0.377482
597	602	0.337481
598	542	0.543177
599	718	0.327706
600	832	1.000000
601	739	0.180401
602	850	0.274620
603	713	0.353974
604	412	0.801451
605	850	0.319646
606	435	0.583616
607	842	0.544088
608	536	0.196908
609	871	0.370025
610	638	0.338061
611	412	0.833512
612	487	0.357842
613	667	0.684438
614	412	0.778803
615	512	0.357898
616	705	0.390415
617	709	0.152555
618	713	0.446823
619	742	0.353025
620	515	0.207139
621	832	1.000000
622	472	0.667844
623	543	0.337130
624	812	0.487640
625	824	0.644763
626	832	1.000000
627	723	0.163530
628	804	0.424701
629	435	0.467816
630	865	0.581824
631	490	0.610454
632	809	0.404568
633	854	0.449889
634	622	0.849314
635	804	0.412480
636	816	0.409968
637	540	0.406660
638	500	0.321339
639	934	0.319625
640	761	0.173495
641	860	0.302275
642	713	0.425892
643	603	0.168890
644	705	0.731518
645	679	0.325185
646	542	0.611627
647	500	0.275142
648	555	0.256918
649	672	0.402610
650	636	0.351867
651	537	0.206227
652	622	0.966023
653	832	1.000000
654	848	0.540911
655	540	0.427842
656	813	1.000000
657	505	0.234582
