[n]	[m]	[probability]
1	4	0.636129
2	4	0.636368
3	9	0.859984
4	35	0.285530
5	22	0.830354
6	10	0.591504
7	6	0.905499
8	11	0.354088
9	6	0.436765
10	21	0.404975
11	17	0.502945
12	9	0.739104
13	16	0.490149
14	16	0.464299
15	40	0.492938
16	22	0.824669
17	23	0.229598
18	17	0.451241
19	19	0.322939
20	40	0.552600
21	40	0.458318
22	13	0.305498
23	20	0.210915
24	20	0.186904
25	46	0.697966
26	16	0.341523
27	35	0.362407
28	13	0.351669
29	31	0.260574
30	41	0.598554
31	35	0.324943
32	33	0.241376
33	32	0.608723
34	35	0.343966
35	40	0.448321
36	40	0.717918
37	46	0.610996
38	41	0.303668
39	50	0.611109
40	39	0.477658
41	46	0.325254
42	32	0.527817
43	56	0.711358
44	72	0.493182
45	67	0.287654
46	56	0.448985
47	45	0.742175
48	119	0.448578
49	136	0.577550
50	97	0.663378
51	53	0.483848
52	105	0.507864
53	54	0.515124
54	136	0.572583
55	89	0.303447
56	97	0.413654
57	81	0.368783
58	136	0.754001
59	51	0.577132
60	86	0.265615
61	52	0.285431
62	54	0.401374
63	52	0.397381
64	136	0.598661
65	54	0.653282
66	70	0.343711
67	55	0.358390
68	119	0.493304
69	84	0.516337
70	98	0.283701
71	87	0.316484
72	136	0.507167
73	57	0.791265
74	57	0.773570
75	73	0.416436
76	136	0.653841
77	55	0.406386
78	92	0.287674
79	45	0.474098
80	51	0.333092
81	133	0.560712
82	86	0.357470
83	105	0.890852
84	79	0.349723
85	51	0.412645
86	75	0.955191
87	133	0.451967
88	90	0.888987
89	119	0.409250
90	114	0.644719
91	152	0.314043
92	75	0.675579
93	127	0.326888
94	88	0.599423
95	90	0.956531
96	162	0.309837
97	84	0.615536
98	102	0.330949
99	154	0.564155
100	152	0.475396
101	116	0.394261
102	84	0.564166
103	91	0.676410
104	109	0.393655
105	154	0.703993
106	120	0.465197
107	137	0.483652
108	96	0.542852
109	108	0.332571
110	118	0.524560
111	116	0.486487
112	162	0.450351
113	137	0.575182
114	127	0.440701
115	96	0.452363
116	120	0.567012
117	118	0.340728
118	109	0.432917
119	127	0.354498
120	117	0.642450
121	117	0.642450
122	121	0.353396
123	164	0.291928
124	132	0.465510
125	75	0.354967
126	155	0.351018
127	115	0.519248
128	158	0.596417
129	164	0.457496
130	181	0.396024
131	130	0.455675
132	157	0.383554
133	178	0.745332
134	115	0.531749
135	167	0.436926
136	172	0.662726
137	156	0.843822
138	156	0.761751
139	217	0.471303
140	164	0.381123
141	121	0.489143
142	149	0.565474
143	186	0.449202
144	164	0.336496
145	230	0.279697
146	150	0.507865
147	122	0.284360
148	217	0.615846
149	147	0.699302
150	217	0.393353
151	217	0.496259
152	177	0.406742
153	181	0.531357
154	140	0.328206
155	248	0.511956
156	143	0.324713
157	150	0.567191
158	169	0.473482
159	157	0.520863
160	150	0.609803
161	202	0.491227
162	168	0.483452
163	230	0.420797
164	161	0.541356
165	157	0.651325
166	207	0.344709
167	175	0.398616
168	182	0.397679
169	157	0.538329
170	142	0.338287
171	315	0.363928
172	157	0.513351
173	139	0.404650
174	160	0.764427
175	151	0.449184
176	230	0.582831
177	151	0.290535
178	157	0.289470
179	248	0.755331
180	314	0.331635
181	207	0.723292
182	238	0.368705
183	151	0.390934
184	190	0.397494
185	186	0.418506
186	238	0.695809
187	170	0.346819
188	151	0.355881
189	315	0.396509
190	259	0.708060
191	233	0.494317
192	259	0.530320
193	237	0.433192
194	203	0.654810
195	171	0.383242
196	232	0.583715
197	183	0.337342
198	307	0.467407
199	315	0.518960
200	231	0.625541
201	366	0.400965
202	263	0.487739
203	366	0.470370
204	231	0.543259
205	242	0.541091
206	252	0.820019
207	366	0.557114
208	236	0.693635
209	307	0.422547
210	236	0.753656
211	246	0.344257
212	409	0.565382
213	344	0.210499
214	218	0.628602
215	225	0.462139
216	193	0.577659
217	237	0.451300
218	236	0.846780
219	193	0.683021
220	289	0.549848
221	236	0.980519
222	449	0.714638
223	409	0.289445
224	280	0.446967
225	246	0.291723
226	193	0.683865
227	289	0.623935
228	250	0.546978
229	193	0.574407
230	289	0.663858
231	318	0.671804
232	236	0.987471
233	286	0.716452
234	286	0.465905
235	345	0.573862
236	318	0.815912
237	291	0.487149
238	286	0.581081
239	280	0.457968
240	193	0.531530
241	311	0.390977
242	193	0.471714
243	449	0.630277
244	360	0.493368
245	373	0.421381
246	227	0.313580
247	391	0.380713
248	432	0.815241
249	262	0.255083
250	449	0.395866
251	262	0.277207
252	538	0.610727
253	291	0.513880
254	411	0.246003
255	432	0.766166
