[n]	[m]	[probability]
1	57606	0.513585
2	57606	0.306346
3	57590	0.448981
4	57608	0.698294
5	57608	0.570326
6	57594	0.468497
7	18670	0.459526
8	57607	0.653272
9	57608	0.453509
10	18678	0.761274
11	57602	0.524799
12	57583	0.269102
13	57608	0.529112
14	18686	0.604699
15	57603	0.685962
16	57608	0.370078
17	57634	0.623198
18	18686	0.461641
19	57634	0.473993
20	57634	0.555310
21	57643	0.301830
22	57624	0.989210
23	18694	0.978632
24	18688	0.682579
25	57604	0.506898
26	57634	0.668258
27	57657	0.767821
28	18678	0.747322
29	57649	0.514721
30	57634	0.297704
31	18704	0.493687
32	57623	0.931098
33	57604	0.286022
34	57638	0.460308
35	57647	0.828838
36	18703	0.817130
37	57657	0.644939
38	18718	0.693212
39	57635	0.449923
40	57673	0.414598
41	57638	0.474676
42	57652	0.995116
43	57638	0.417175
44	57676	0.360823
45	57650	0.626465
46	57655	0.712511
47	18765	0.441907
48	57624	0.986632
49	18722	0.929370
50	18715	0.968019
51	57647	0.885934
52	18719	0.386173
53	57674	0.964401
54	18723	0.350733
55	57667	0.363512
56	18722	0.629213
57	57693	0.427576
58	57650	0.816235
59	57679	0.560226
60	57671	0.384182
61	18731	0.919078
62	18749	0.405968
63	18721	0.385103
64	18729	0.508882
65	57695	0.471055
66	57704	0.305630
67	57680	0.583802
68	18738	0.353960
69	57704	0.435411
70	18714	0.549270
71	18735	0.692385
72	57685	0.397620
73	57671	0.637040
74	57724	0.443286
75	57677	0.284673
76	57691	0.835117
77	57652	0.376095
78	57724	0.526694
79	57691	0.855614
80	18729	0.953480
81	18747	0.601873
82	57722	0.753023
83	57706	0.238452
84	18744	0.294981
85	57707	0.763298
86	18746	0.818657
87	57718	0.543335
88	57727	0.516831
89	18769	0.435469
90	18765	0.738608
91	18751	0.741074
92	57749	0.588974
93	57668	0.264817
94	18740	0.920340
95	57749	0.457271
96	57751	0.587627
97	57715	0.469382
98	57688	0.374918
99	18763	0.974195
100	57776	0.761920
101	57734	0.939216
102	57694	0.657379
103	57735	0.263773
104	18739	0.510766
105	18768	0.968645
106	18771	0.960209
107	57715	0.709229
108	57733	0.667188
109	57714	0.611333
110	57746	0.584841
111	57785	0.514022
112	18739	0.241590
113	57795	0.226969
114	57747	0.820014
115	57712	0.359394
116	57725	0.561835
117	57757	0.286795
118	18785	0.687042
119	57762	0.740623
120	18775	0.666380
121	57726	0.387982
122	57789	0.491471
123	57726	0.281980
124	57767	0.623283
125	57745	0.933445
126	18760	0.470213
127	57764	0.489697
128	18754	0.506640
129	18778	0.879502
130	57804	0.763990
131	18784	0.868648
132	57773	0.982922
133	18773	0.487877
134	18776	0.273018
135	57779	0.582496
136	57804	0.399974
137	18773	0.339890
138	57789	0.291827
139	18770	0.946873
140	57787	0.177577
141	57760	0.697873
142	18781	0.572872
143	57787	0.359907
144	57761	0.322759
145	18791	0.291563
146	18777	0.663221
147	57799	0.966162
148	57812	0.325671
149	57805	0.772736
150	57805	0.605352
151	18802	0.663204
152	57766	0.500322
153	18780	0.992905
154	57788	0.662776
155	57799	0.807337
156	18804	0.844104
157	18799	0.874255
158	57788	0.443500
159	57829	0.573277
160	18786	0.283086
161	57791	0.332961
162	57826	0.971429
163	57842	0.331763
164	57835	0.784135
165	57798	0.987502
166	57837	0.477767
167	57829	0.360026
168	57832	0.309844
169	57823	0.520933
170	57800	0.379222
171	57811	0.942495
172	57831	0.182726
173	18817	0.366064
174	57813	0.405357
175	57815	0.316313
176	18798	0.631409
177	57840	0.751882
178	18817	0.298740
179	57851	0.534892
180	18807	0.513793
181	57852	0.784582
182	57843	0.249132
183	57866	0.245415
184	18803	0.610794
185	57853	0.190706
186	57849	0.264184
187	57853	0.542644
188	18810	0.413693
189	18823	0.214139
190	57866	0.207087
191	57830	0.718195
192	57819	0.667724
193	18821	0.462661
194	18830	0.470230
195	18829	0.470061
196	57850	0.329917
197	57866	0.252479
198	57858	0.366893
199	57872	0.330859
200	57867	0.498667
201	18824	0.903131
202	57871	0.983908
203	18833	0.899212
204	57856	0.588255
205	57856	0.393397
206	57886	0.767401
207	57865	0.614421
208	18824	0.953427
209	18841	0.768195
210	57888	0.343750
211	18834	0.485120
212	57854	0.301739
213	57893	0.659515
214	57880	0.380168
215	57875	0.576455
216	18836	0.921600
217	57892	0.242104
218	57892	0.253496
219	57876	0.891338
220	57902	0.237525
221	57916	0.588605
222	57899	0.256660
223	18846	0.174477
224	18851	0.789338
225	57916	0.705118
226	57907	0.612987
227	57929	0.417128
228	57917	0.590639
229	18856	0.209735
230	18858	0.363495
231	57909	0.270680
232	57919	0.419562
233	57915	0.307389
234	57953	0.913736
235	57991	0.812983
236	18872	0.300951
237	57923	0.282898
238	18861	0.293296
239	57937	0.499695
240	57961	0.264197
241	18863	0.549153
242	57964	0.423320
243	57963	0.359200
244	57936	0.989912
245	57933	0.705810
246	57970	0.361919
247	57983	0.188666
248	57970	0.370888
249	18891	0.832897
250	57966	0.538972
251	58019	0.428302
252	18904	0.540713
253	57987	0.280647
254	32831	0.306810
255	57949	0.221235
256	6095	0.356318
257	18889	0.650541
258	57974	0.380483
259	32831	0.521205
260	6095	0.415151
261	32914	0.424625
262	6027	0.483932
263	6095	0.442660
264	18917	0.630883
265	58046	0.890881
266	18915	0.249958
267	18886	0.535114
268	58016	0.474063
269	57990	0.333302
270	18892	0.369004
271	32939	0.476101
272	57968	0.256293
273	6135	0.371772
274	18886	0.609538
275	58024	0.516049
276	58006	0.568776
277	57984	0.184977
278	6095	0.330347
279	33090	0.321015
280	58045	0.518224
281	18911	0.479564
282	58022	0.464526
283	18902	0.338638
284	6142	0.462506
285	57969	0.264142
286	58015	0.456683
287	58048	0.457855
288	18892	0.419084
289	58052	0.181000
290	58072	0.743556
291	58033	0.623191
292	18908	0.307145
293	58008	0.224382
294	58015	0.349322
295	18933	0.322979
296	58049	0.825659
297	18921	0.401306
298	58062	0.620552
299	18930	0.500747
300	33220	0.337486
301	58089	0.289504
302	33223	0.286110
303	58060	0.553740
304	18909	0.223195
305	58047	0.311220
306	58060	0.474318
307	58065	0.350397
308	18947	0.553293
309	6240	0.553763
310	33224	0.363791
311	58090	0.502094
312	58086	0.529761
313	58082	0.297608
314	58054	0.593915
315	58085	0.508474
316	18950	0.456894
317	58104	0.446688
318	18946	0.355272
319	58105	0.400887
320	58072	0.397819
321	18945	0.658735
322	58096	0.270384
323	58102	0.319251
324	58112	0.807325
325	58114	0.484040
326	58122	0.608286
327	58120	0.691042
328	33343	0.301642
329	58136	0.420515
330	18964	0.440062
331	18959	0.293671
332	58124	0.422712
333	58105	0.338018
334	58130	0.287273
335	18969	0.489646
336	18968	0.317200
337	18966	0.289283
338	18971	0.523634
339	58131	0.340630
340	58138	0.488291
341	58132	0.324785
342	58137	0.250121
343	58142	0.509100
344	18969	0.559790
345	46521	0.450750
346	46528	0.555971
347	46529	0.439396
348	12915	0.514800
349	12929	0.293391
350	46540	0.497228
351	46530	0.419168
352	12924	0.392196
353	46545	0.515651
354	46566	0.480321
355	46544	0.282510
356	12929	0.495354
357	46550	0.307834
358	46541	0.300335
359	46549	0.334189
360	46548	0.738733
361	46545	0.537211
362	46599	0.292737
363	12952	0.302212
364	46529	0.500530
365	12957	0.730097
366	46569	0.162452
367	12946	0.243175
368	46553	0.366386
369	46558	0.908767
370	12934	0.812251
371	46565	0.473591
372	46563	0.683509
373	46625	0.290055
374	12936	0.281934
375	46548	0.702568
376	12925	0.420901
377	46563	0.470451
378	12962	0.699281
379	46600	0.570845
380	46559	0.688509
381	46541	0.291471
382	12959	0.301017
383	12966	0.784848
384	46643	0.311208
385	12943	0.314595
386	46575	0.727949
387	12947	0.490891
388	12998	0.281989
389	12955	0.677634
390	46593	0.351304
391	46623	0.339490
392	12936	0.235504
393	46643	0.359491
394	46642	0.509872
395	12947	0.440443
396	46600	0.439088
397	12948	0.737005
398	12978	0.524465
399	46602	0.444949
400	46597	0.522471
401	46631	0.760083
402	46639	0.382952
403	12950	0.591291
404	46590	0.635045
405	12982	0.479651
406	46649	0.284166
407	12954	0.592390
408	46655	0.290128
409	12998	0.350165
410	12986	0.949302
411	12967	0.824258
412	12954	0.572776
413	12982	0.930615
414	12990	0.592254
415	46608	0.799147
416	12967	0.721271
417	46631	0.355048
418	46624	0.438400
419	12976	0.574608
420	46659	0.693664
421	12998	0.382049
422	46631	0.809590
423	46628	0.855762
424	46615	0.403562
425	46656	0.497420
426	46658	0.716853
427	46659	0.762040
428	12968	0.430200
429	46630	0.758311
430	46620	0.690807
431	46624	0.547769
432	46655	0.605120
433	12998	0.420615
434	12997	0.676596
435	46627	0.736869
436	12979	0.539896
437	46665	0.701405
438	46648	0.733472
439	46664	0.745410
440	46657	0.478592
441	46672	0.513026
442	46629	0.315068
443	46682	0.795301
444	46670	0.586413
445	46646	0.751050
446	46641	0.556905
447	46675	0.535752
448	12995	0.918338
449	46701	0.590969
450	46668	0.572025
451	12999	0.827847
452	46695	0.458721
453	46667	0.757172
454	12989	0.995733
455	13009	0.557218
456	13008	0.606191
457	12994	0.997736
458	13009	0.564102
459	13010	0.523762
460	46692	0.922697
461	46693	0.467479
462	46651	0.870014
463	46711	0.537144
464	46708	0.396811
465	12999	0.738362
466	46705	0.510531
467	13001	0.358228
468	46696	0.770268
469	13023	0.739551
470	46718	0.813184
471	13013	0.558919
472	46689	0.304720
473	13023	0.840663
474	46704	0.265193
475	13014	0.902855
476	46703	0.531460
477	13020	0.510937
478	12994	0.978798
479	46711	0.716087
480	13029	0.508924
481	13019	0.351411
482	13015	0.836387
483	46714	0.614569
484	46724	0.844384
485	46731	0.468682
486	46732	0.525385
487	46720	0.810549
488	46723	0.658478
489	13018	0.767923
490	13012	0.996820
491	46737	0.659668
492	13020	0.999359
493	13026	0.351631
494	46713	0.712420
495	46753	0.584782
496	46739	0.417354
497	46721	0.515061
498	46760	0.513940
499	46697	0.462457
500	46717	0.383405
501	46753	0.477701
502	13045	0.805662
503	46752	0.482043
504	46721	0.397055
505	46747	0.930012
506	46756	0.349768
507	46744	0.999993
508	46736	0.982089
509	46750	0.567828
510	46769	0.978401
511	13042	0.653718
512	13038	0.550144
513	46747	0.636052
514	13046	0.490247
515	46764	0.406755
516	46740	0.505676
517	46786	0.919940
518	13040	0.551017
519	46771	0.271183
520	46773	0.367219
521	13039	0.550915
522	46768	0.741746
523	13032	0.997236
524	46751	0.269217
525	46748	0.949363
526	46779	0.390073
527	46757	0.985976
528	13056	0.709605
529	46765	0.730770
530	13041	0.398025
531	46784	0.631072
532	46777	0.992644
533	13043	0.421888
534	46779	0.284635
535	13048	0.965172
536	13054	0.628291
537	46765	0.323053
538	13059	0.954054
539	13064	0.701371
540	46793	0.394210
541	13057	0.292159
542	13061	0.192362
543	13066	0.412625
544	46808	0.428738
545	13041	0.386342
546	46802	0.367234
547	13058	0.446504
548	13062	0.495446
549	46819	0.537750
550	13060	0.570116
551	13060	0.433588
552	46813	0.420708
553	46809	0.449694
554	46813	0.476440
555	46837	0.915105
556	46815	0.740919
557	13060	0.226468
558	46822	0.850151
559	46823	0.785898
560	46798	0.985917
561	46816	0.392207
562	13075	0.859030
563	46824	0.329779
564	46811	0.845524
565	46805	0.519547
566	46829	0.503179
567	13088	0.389933
568	46839	0.219841
569	46847	0.370120
570	46838	0.519357
571	13087	0.585725
572	46820	0.230156
573	13083	0.858875
574	46848	0.736572
575	46834	0.324959
576	13080	0.320105
577	46845	0.453534
578	46836	0.518186
579	46871	0.646220
580	13089	0.279289
581	13106	0.511771
582	13107	0.664940
583	13088	0.408963
584	46856	0.522155
585	46877	0.293636
586	46845	0.545945
587	13083	0.862729
588	46851	0.237181
589	46853	0.489967
590	13113	0.645654
591	13102	0.204455
592	46912	0.385444
593	46884	0.525626
594	46854	0.890096
595	46872	0.458299
596	13111	0.243199
597	13105	0.476686
598	46878	0.478588
599	13125	0.426546
600	46921	0.636243
601	46910	0.272163
602	46904	0.220330
603	13130	0.481805
604	13096	0.355254
605	46906	0.302569
606	5970	0.594196
607	13121	0.227089
608	46901	0.228928
609	32713	0.457240
610	32830	0.326752
611	46972	0.750050
612	46996	0.449833
613	13113	0.853746
614	46915	0.501359
615	46941	0.570654
616	46916	0.539734
617	32829	0.686717
618	46903	0.290856
619	46957	0.485473
620	46916	0.420518
621	32912	0.299003
622	46916	0.328569
623	46974	0.942270
624	46933	0.820659
625	46914	0.449797
626	46971	0.512322
627	13144	0.750902
628	46934	0.448586
629	13117	0.285139
630	46970	0.488243
631	46934	0.460106
632	46923	0.297970
633	46965	0.473078
634	6088	0.328941
635	6048	0.713440
636	46968	0.450821
637	46965	0.266718
638	46919	0.143035
639	32993	0.218411
640	47020	0.868654
641	33083	0.350273
642	46936	0.200601
643	32898	0.514007
644	46986	0.343250
645	46976	0.846441
646	47007	0.556504
647	32913	0.578617
648	13160	0.458599
649	46986	0.383062
650	47019	0.523081
651	47011	0.387867
652	13164	0.490905
653	47047	0.492317
654	13177	0.452969
655	33012	0.313742
656	6122	0.409665
657	47035	0.440974
658	47018	0.384707
659	47051	0.399568
660	47028	0.426619
661	33084	0.627759
662	47027	0.338388
663	47068	0.335405
664	33188	0.336074
665	13178	0.742973
666	47008	0.393153
667	47039	0.293153
668	33085	0.758569
669	47056	0.590544
670	47009	0.251458
671	6182	0.300352
672	47030	0.352145
673	47032	0.386472
674	47040	0.342237
675	47076	0.370934
676	13189	0.373339
677	13192	0.421091
678	47060	0.385743
679	47070	0.326045
680	47073	0.466000
681	13179	0.382819
682	47039	0.376383
683	47037	0.325778
684	47065	0.364854
685	47074	0.472165
686	47057	0.320821
687	47052	0.288748
688	47069	0.243042
689	47072	0.348046
690	47057	0.378218
691	47083	0.340519
692	33419	0.224608
693	13204	0.271536
694	13205	0.434231
695	47094	0.341846
696	6961	0.690010
697	34920	0.237010
698	6994	0.445327
699	6955	0.685689
700	35166	0.386335
701	7083	0.411257
702	34922	0.451758
703	7145	0.457563
704	6985	0.381223
705	35356	0.295424
706	34892	0.449501
707	34900	0.693153
708	6995	0.435030
709	34901	0.383245
710	35009	0.419291
711	6980	0.432101
712	6994	0.438522
713	6966	0.870128
714	7079	0.360752
715	35166	0.319835
716	7029	0.470340
717	35011	0.458657
718	7145	0.397447
719	7145	0.350043
720	7029	0.856273
721	35011	0.584973
722	7023	0.333438
723	34898	0.964627
724	6970	0.367781
725	7084	0.617397
726	35126	0.845580
727	35619	0.289666
728	35356	0.671689
729	34730	0.299389
730	7013	0.253400
731	34945	0.342722
732	34701	0.483438
733	6886	0.281211
734	34671	0.301666
735	6863	0.212477
736	6978	0.920591
737	6840	0.291247
738	35006	0.403699
739	34894	0.524098
740	35161	0.187349
741	35194	0.154380
742	35116	0.228890
743	34878	0.687541
744	6986	0.490424
745	34904	0.403399
746	7013	0.314903
747	34983	0.597288
748	34909	0.349861
749	34887	0.273352
750	7166	0.395044
751	7043	0.612726
752	34904	0.595131
753	34984	0.377308
754	34956	0.424452
755	35491	0.383475
756	35063	0.324472
757	7011	0.327133
758	34979	0.397146
759	35031	0.311435
760	34941	0.352751
761	7019	0.282775
762	35035	0.394623
763	7022	0.642991
764	6992	0.442197
765	34665	0.291505
766	35078	0.353228
767	7138	0.413632
768	35154	0.159772
769	6990	0.586301
770	34918	0.595873
771	35088	0.208395
772	6990	0.598565
773	35619	0.429981
774	35493	0.302520
775	35524	0.253241
776	35323	0.740553
777	6990	0.385102
778	7028	0.581897
779	7059	0.476309
780	7007	0.219070
781	34997	0.259812
782	7038	0.557958
783	34984	0.298277
784	35152	0.215981
785	35423	0.146347
786	7157	0.182110
787	35348	0.219291
788	35428	0.241939
789	35325	0.410405
790	35064	0.315728
791	35003	0.556364
792	35271	0.319196
793	34899	0.670771
794	35490	0.359931
795	34925	0.593893
796	6997	0.431813
797	7001	0.393109
798	34970	0.281645
799	7003	0.414148
800	34930	0.263422
801	34994	0.451596
802	7049	0.387355
803	7006	0.299443
804	7089	0.467886
805	7126	0.271433
806	7055	0.276520
807	7053	0.370054
808	35000	0.386230
809	7038	0.505418
810	35377	0.301247
811	7024	0.428012
812	35346	0.191823
813	35421	0.225665
814	7262	0.274973
815	35524	0.267266
816	7222	0.424644
817	7028	0.628179
818	35325	0.283341
819	6990	0.477392
820	6998	0.360624
821	34926	0.705410
822	7034	0.436637
823	35060	0.324536
824	7008	0.156216
825	34741	0.137801
826	35271	0.506064
827	35274	0.281022
828	35290	0.174659
829	35377	0.229891
830	35348	0.238064
831	7103	0.240266
832	6990	0.544521
833	7003	0.207059
834	35097	0.292155
835	7110	0.272833
836	7063	0.381025
837	35026	0.291051
838	35105	0.406808
839	35442	0.492159
840	7114	0.334249
841	35411	0.240013
842	35280	0.424170
843	7262	0.232581
844	35490	0.490621
845	35197	0.302321
846	7031	0.591250
847	34968	0.389273
848	6998	0.484557
849	34926	0.785123
850	7107	0.362360
851	35134	0.401948
852	35061	0.333450
853	7017	0.363748
854	7150	0.559991
855	34980	0.231116
856	35034	0.266935
857	7039	0.372646
858	35002	0.307109
859	34947	0.424598
860	7127	0.634613
861	7075	0.215698
862	35261	0.276020
863	7245	0.193304
864	35267	0.325348
865	35288	0.241735
866	35111	0.389260
867	35081	0.258072
868	7077	0.340963
869	7025	0.634871
870	35085	0.287604
871	35423	0.261922
872	34965	0.292772
873	7085	0.402825
874	35521	0.305776
875	35489	0.293268
876	35524	0.138511
877	35089	0.313500
878	35056	0.256124
879	35543	0.352678
880	35544	0.386826
881	35463	0.538389
882	35388	0.863328
883	35093	0.347061
884	7189	0.518199
885	35067	0.301345
886	35400	0.637168
887	7021	0.217327
888	35217	0.482860
889	35149	0.345564
890	35405	0.236342
891	35375	0.635485
892	35291	0.199522
893	7233	0.247807
894	7139	0.185611
895	35520	0.294941
896	35544	0.359027
897	35606	0.407619
898	7044	0.278924
899	7108	0.487691
900	35328	0.323625
901	35330	0.481009
902	35039	0.336435
903	34949	0.337550
904	35223	0.316560
905	35265	0.334404
906	7130	0.722208
907	35271	0.337188
908	35113	0.421921
909	7058	0.530908
910	35643	0.118469
911	35130	0.330317
912	7164	0.292858
913	7121	0.480071
914	35057	0.351072
915	35057	0.444415
916	7088	0.511749
917	7185	0.377939
918	35327	0.494333
919	35174	0.292995
920	35066	0.438173
921	35042	0.227485
922	35042	0.191798
923	35264	0.500976
924	7199	0.237205
925	7257	0.244026
926	7310	0.237519
927	35346	0.153426
928	7087	0.169678
929	35601	0.505577
930	35605	0.795706
931	7030	0.268804
932	35131	0.238818
933	7106	0.585348
934	35394	0.496342
935	35556	0.506613
936	7093	0.251646
937	35472	0.276975
938	35399	0.584143
939	35443	0.486689
940	35408	0.241614
941	7142	0.189091
942	35352	0.173002
943	7281	0.359092
944	7297	0.270775
945	35358	0.625980
946	35016	0.337924
947	7044	0.306214
948	7184	0.383131
949	35073	0.470150
950	35071	0.178718
951	7305	0.240934
952	35279	0.302307
953	35283	0.257988
954	35282	0.242441
955	35186	0.249016
956	35541	0.401807
957	35130	0.187881
958	7322	0.492174
959	7348	0.625972
960	35367	0.440577
961	7315	0.478461
962	35396	0.298982
963	35213	0.220104
964	35218	0.253824
965	35476	0.256103
966	7309	0.405819
967	35786	0.257078
968	35182	0.217383
969	35187	0.349957
970	7281	0.323983
971	7165	0.262026
972	35598	0.357386
973	35458	0.450407
974	35800	0.380713
975	35601	0.342137
976	35548	0.471060
977	7183	0.299715
978	7302	0.513404
979	35212	0.225291
980	35108	0.215430
981	7200	0.413104
982	35564	0.210204
983	35295	0.384920
984	35182	0.185028
985	35232	0.192100
986	35458	0.697149
987	35461	0.534397
988	7348	0.585725
989	7347	0.833032
990	35168	0.259989
991	35655	0.384772
992	7366	0.301663
993	35561	0.419686
994	35564	0.258170
995	35507	0.513422
996	7205	0.263665
997	35591	0.258747
998	35307	0.238669
999	35309	0.312201
1000	35716	0.373688
1001	35014	0.229490
1002	35465	0.211725
1003	7288	0.529182
1004	35554	0.351294
1005	35441	0.372524
1006	7151	0.531222
1007	7190	0.864507
1008	35216	0.252869
1009	35473	0.520091
1010	7095	0.228994
1011	7128	0.461027
1012	35338	0.282261
1013	7318	0.398256
1014	35406	0.235345
1015	35260	0.223471
1016	7176	0.210267
1017	35536	0.382573
1018	35374	0.224662
1019	35286	0.273027
1020	7353	0.199613
1021	35344	0.182692
1022	35455	0.291986
1023	35387	0.364063
1024	35522	0.394211
1025	35750	0.477863
1026	7363	0.422754
1027	35545	0.334061
1028	35605	0.599810
1029	35241	0.514029
1030	7327	0.357967
1031	35756	0.168356
1032	35559	0.437331
1033	35699	0.373952
1034	7352	0.282218
1035	35739	0.274049
1036	7248	0.215135
1037	35304	0.282818
1038	35594	0.334722
1039	7284	0.285098
1040	35800	0.511120
1041	7169	0.426021
1042	35243	0.241515
1043	7255	0.314161
1044	7173	0.369675
1045	7319	0.598942
1046	35533	0.255168
1047	35488	0.232248
1048	7384	0.746173
1049	35464	0.302027
1050	7303	0.422150
1051	35587	0.676408
1052	35629	0.303757
1053	7227	0.231593
1054	35341	0.287645
1055	7357	0.201633
1056	7311	0.313757
1057	35305	0.254705
1058	7229	0.231766
1059	35519	0.244128
1060	35573	0.350722
1061	7363	0.315573
1062	35804	0.402257
1063	35678	0.635917
1064	7383	0.845222
1065	35545	0.389093
1066	35681	0.913669
1067	35646	0.401810
1068	35682	0.652466
1069	7349	0.955477
1070	35800	0.305986
1071	35648	0.491658
1072	35648	0.578236
1073	7348	0.748620
1074	7335	0.346156
