target,MAE,RMSE,sij,r2,r2_adj,model,scaler,var_selection,features,equation
x_C7_bony,5.155512525449125,6.9320902261200725,2.879247324382729,0.8738722887606486,0.8346325563750726,"ElasticNet(alpha=0.001, max_iter=10000)",Raw,stepwise,"age, weight, height, BMI, x_C7_skin, y_T8_skin, z_T8_skin, x_XP_skin, z_XP_skin, x_R10_skin, y_R10_skin, d_T8_JN_skin, d_T8_R10_skin, d_JN_R10_skin",x_C7_bony = 55.4225 + (0.09184 * age) + (0.5563 * weight) + (-22.25 * height) + (-1.301 * BMI) + (4.264 * x_C7_skin) + (1.475 * y_T8_skin) + (0.6676 * z_T8_skin) + (-3.78 * x_XP_skin) + (-0.06773 * z_XP_skin) + (-0.9745 * x_R10_skin) + (-0.7438 * y_R10_skin) + (3.635 * d_T8_JN_skin) + (1.388 * d_T8_R10_skin) + (-1.909 * d_JN_R10_skin)
y_C7_bony,1.7544264396688236,2.4541207046396796,1.0127315197663362,0.9787169316969305,0.9743734483697735,"ElasticNet(alpha=0.001, l1_ratio=0.9, max_iter=10000)",StandardScaler,stepwise,"sex, age, BMI, y_C7_skin, x_T8_skin, x_XP_skin, z_XP_skin, x_R10_skin, d_C7_JN_skin, d_T8_XP_skin",y_C7_bony = 10.8035 + (1.221 * sex) + (0.01356 * age) + (-0.1349 * BMI) + (0.5903 * y_C7_skin) + (0.5788 * x_T8_skin) + (1.014 * x_XP_skin) + (0.06318 * z_XP_skin) + (0.01262 * x_R10_skin) + (0.8081 * d_C7_JN_skin) + (-0.194 * d_T8_XP_skin)
z_C7_bony,1.7224897960514143,2.0414704666280805,1.0315034700533765,0.2823056177483112,0.20105719711604453,"ElasticNet(alpha=0.01, l1_ratio=0.1, max_iter=10000)",StandardScaler,stepwise,"height, BMI, y_T8_skin, x_R10_skin, z_R10_skin, d_C7_JN_skin",z_C7_bony = -1.1704 + (8.678 * height) + (0.1434 * BMI) + (0.04502 * y_T8_skin) + (-0.03962 * x_R10_skin) + (-0.05707 * z_R10_skin) + (-0.02992 * d_C7_JN_skin)
x_T8_bony,3.951907283283118,5.27401727637087,2.2122172092192103,0.954053344201534,0.9488518359979341,"Ridge(alpha=0.0001, max_iter=10000)",MinMaxScaler,stepwise,"age, weight, x_T8_skin, x_XP_skin, x_R10_skin, d_T8_R10_skin",x_T8_bony = -4.4516 + (-0.08026 * age) + (0.17 * weight) + (1.025 * x_T8_skin) + (-0.09068 * x_XP_skin) + (-0.0758 * x_R10_skin) + (0.06457 * d_T8_R10_skin)
y_T8_bony,1.249063243990757,1.6673555891895604,0.7491831892717253,0.9934471610684148,0.9919454688132598,"Lasso(alpha=0.0001, max_iter=10000)",StandardScaler,stepwise,"sex, age, BMI, x_C7_skin, y_T8_skin, x_R10_skin, d_C7_T8_skin, d_C7_JN_skin, d_C7_XP_skin, d_T8_XP_skin, d_JN_R10_skin",y_T8_bony = -2.4898 + (0.5855 * sex) + (0.01547 * age) + (-0.03866 * BMI) + (0.5628 * x_C7_skin) + (0.7574 * y_T8_skin) + (0.02233 * x_R10_skin) + (-0.2227 * d_C7_T8_skin) + (0.5826 * d_C7_JN_skin) + (-0.04742 * d_C7_XP_skin) + (0.05904 * d_T8_XP_skin) + (0.01572 * d_JN_R10_skin)
z_T8_bony,1.2850466286663043,1.879054026579465,0.8094461957316453,0.9464752755775518,0.9404158728127464,"Ridge(alpha=100, max_iter=10000)",Raw,stepwise,"z_T8_skin, y_XP_skin, z_XP_skin, x_R10_skin, d_C7_JN_skin, d_C7_XP_skin",z_T8_bony = 0.4967 + (0.4639 * z_T8_skin) + (0.02908 * y_XP_skin) + (-0.4639 * z_XP_skin) + (-0.01048 * x_R10_skin) + (-0.03382 * d_C7_JN_skin) + (0.03082 * d_C7_XP_skin)
x_JN_bony,3.4089543173510775,4.090794381225602,1.9783861184677498,0.868054351299253,0.8307653636229549,"ElasticNet(alpha=0.1, l1_ratio=0.7, max_iter=10000)",Raw,stepwise,"sex, age, height, x_C7_skin, x_T8_skin, y_T8_skin, x_XP_skin, z_XP_skin, y_R10_skin, d_C7_T8_skin, d_C7_JN_skin, d_C7_R10_skin, d_T8_R10_skin",x_JN_bony = 3.9554 + (3.881 * sex) + (0.1281 * age) + (-0.2385 * x_C7_skin) + (1.262 * y_T8_skin) + (-0.5308 * x_XP_skin) + (-0.4509 * z_XP_skin) + (-0.8883 * y_R10_skin) + (1.73 * d_C7_T8_skin) + (-0.5086 * d_C7_JN_skin) + (-1.465 * d_C7_R10_skin) + (0.7116 * d_T8_R10_skin)
y_JN_bony,0.4409754266231975,0.5172513158434385,0.5411694662128739,0.568765900296211,0.48075894117298873,"ElasticNet(alpha=0.1, l1_ratio=0.7, max_iter=10000)",Raw,stepwise,"sex, age, height, BMI, y_T8_skin, x_XP_skin, d_C7_R10_skin, d_T8_XP_skin, d_JN_XP_skin, d_XP_R10_skin",y_JN_bony = 1.4599 + (-0.035 * sex) + (-0.0261 * age) + (0.0376 * BMI) + (0.038 * y_T8_skin) + (-0.08032 * x_XP_skin) + (-0.02634 * d_C7_R10_skin) + (0.01542 * d_T8_XP_skin) + (0.03314 * d_JN_XP_skin) + (0.03625 * d_XP_R10_skin)
z_JN_bony,0.6343542475706851,0.9859277953556,0.36504495529953285,0.06144623727613874,0.04526427584986527,"Lasso(alpha=0.001, max_iter=10000)",StandardScaler,stepwise,y_R10_skin,z_JN_bony = -3.7962 + (-0.01245 * y_R10_skin)
x_XP_bony,5.165853044525598,6.384654233874801,3.130274999620885,0.8503153462502947,0.8333699137503281,"ElasticNet(alpha=0.001, l1_ratio=0.3, max_iter=10000)",StandardScaler,stepwise,"sex, BMI, x_C7_skin, y_XP_skin, z_R10_skin, d_T8_XP_skin",x_XP_bony = 24.4885 + (8.188 * sex) + (-0.5405 * BMI) + (0.503 * x_C7_skin) + (0.03496 * y_XP_skin) + (-0.09436 * z_R10_skin) + (0.408 * d_T8_XP_skin)
